,DogID,Scent,Day,WeightKg,DailyWC,WCG,Age,Breed,Sex
1,Annaki,Beef,1,13.63636364,14.39,1.055266667,3,Jack Russell Terrier,M
2,Annaki,Beef,2,13.63636364,519.71,38.11206667,3,Jack Russell Terrier,M
3,Annaki,Beef,3,13.63636364,370.71,27.1854,3,Jack Russell Terrier,M
4,Annaki,Beef,4,13.63636364,2.66,0.195066667,3,Jack Russell Terrier,M
5,Annaki,Chicken,1,13.63636364,430.88,31.59786667,3,Jack Russell Terrier,M
6,Annaki,Chicken,2,13.63636364,210.35,15.42566667,3,Jack Russell Terrier,M
7,Annaki,Chicken,3,13.63636364,248.88,18.2512,3,Jack Russell Terrier,M
8,Annaki,Chicken,4,13.63636364,0,0,3,Jack Russell Terrier,M
9,Annaki,Non-scented,1,13.63636364,0,0,3,Jack Russell Terrier,M
10,Annaki,Non-scented,2,13.63636364,0,0,3,Jack Russell Terrier,M
11,Annaki,Non-scented,3,13.63636364,0,0,3,Jack Russell Terrier,M
12,Annaki,Non-scented,4,13.63636364,5.38,0.394533333,3,Jack Russell Terrier,M
13,Annaki,Peanut,1,13.63636364,13.29,0.9746,3,Jack Russell Terrier,M
14,Annaki,Peanut,2,13.63636364,121.23,8.8902,3,Jack Russell Terrier,M
15,Annaki,Peanut,3,13.63636364,0,0,3,Jack Russell Terrier,M
16,Annaki,Peanut,4,13.63636364,339.41,24.89006667,3,Jack Russell Terrier,M
17,Autumn,Beef,1,19.54545455,16.85,0.862093023,3,Mixed,F
18,Autumn,Beef,2,19.54545455,0,0,3,Mixed,F
19,Autumn,Beef,3,19.54545455,235.57,12.0524186,3,Mixed,F
20,Autumn,Beef,4,19.54545455,229.64,11.74902326,3,Mixed,F
21,Autumn,Chicken,1,19.54545455,317.03,16.22013953,3,Mixed,F
22,Autumn,Chicken,2,19.54545455,113.47,5.80544186,3,Mixed,F
23,Autumn,Chicken,3,19.54545455,0,0,3,Mixed,F
24,Autumn,Chicken,4,19.54545455,0,0,3,Mixed,F
25,Autumn,Non-scented,1,19.54545455,11.21,0.573534884,3,Mixed,F
26,Autumn,Non-scented,2,19.54545455,360.09,18.4232093,3,Mixed,F
27,Autumn,Non-scented,3,19.54545455,15.18,0.776651163,3,Mixed,F
28,Autumn,Non-scented,4,19.54545455,0,0,3,Mixed,F
29,Autumn,Peanut,1,19.54545455,37.53,1.920139535,3,Mixed,F
30,Autumn,Peanut,2,19.54545455,0,0,3,Mixed,F
31,Autumn,Peanut,3,19.54545455,0,0,3,Mixed,F
32,Autumn,Peanut,4,19.54545455,0,0,3,Mixed,F
33,Beefy,Beef,1,19.09090909,170.09,8.90947619,9,Bull dog,F
34,Beefy,Beef,2,19.09090909,0,0,9,Bull dog,F
35,Beefy,Beef,3,19.09090909,0,0,9,Bull dog,F
36,Beefy,Beef,4,19.09090909,0,0,9,Bull dog,F
37,Beefy,Chicken,1,19.09090909,0,0,9,Bull dog,F
38,Beefy,Chicken,2,19.09090909,109.05,5.712142857,9,Bull dog,F
39,Beefy,Chicken,3,19.09090909,0,0,9,Bull dog,F
40,Beefy,Chicken,4,19.09090909,5.75,0.301190476,9,Bull dog,F
41,Beefy,Non-scented,1,19.09090909,0,0,9,Bull dog,F
42,Beefy,Non-scented,2,19.09090909,0,0,9,Bull dog,F
43,Beefy,Non-scented,3,19.09090909,0,0,9,Bull dog,F
44,Beefy,Non-scented,4,19.09090909,0,0,9,Bull dog,F
45,Beefy,Peanut,1,19.09090909,0,0,9,Bull dog,F
46,Beefy,Peanut,2,19.09090909,0,0,9,Bull dog,F
47,Beefy,Peanut,3,19.09090909,2.92,0.152952381,9,Bull dog,F
48,Beefy,Peanut,4,19.09090909,0,0,9,Bull dog,F
49,Billi,Beef,1,9.090909091,31.52,3.4672,5,Poodle miniature,M
50,Billi,Beef,2,9.090909091,0,0,5,Poodle miniature,M
51,Billi,Beef,3,9.090909091,53.37,5.8707,5,Poodle miniature,M
52,Billi,Beef,4,9.090909091,16.41,1.8051,5,Poodle miniature,M
53,Billi,Chicken,1,9.090909091,57.89,6.3679,5,Poodle miniature,M
54,Billi,Chicken,2,9.090909091,6.15,0.6765,5,Poodle miniature,M
55,Billi,Chicken,3,9.090909091,3.43,0.3773,5,Poodle miniature,M
56,Billi,Chicken,4,9.090909091,91.41,10.0551,5,Poodle miniature,M
57,Billi,Non-scented,1,9.090909091,4.13,0.4543,5,Poodle miniature,M
58,Billi,Non-scented,2,9.090909091,26.89,2.9579,5,Poodle miniature,M
59,Billi,Non-scented,3,9.090909091,54.51,5.9961,5,Poodle miniature,M
60,Billi,Non-scented,4,9.090909091,61.55,6.7705,5,Poodle miniature,M
